Verb,pct_female,pct.male,pct.trans,pct.human,pct.robot,pct.animal,pct.fictional,pct.asian,pct.white,pct.black,pct.PoC.other,pct.heterosexual,pct.homosexual,pct.sexuality.other,pct.child,pct.young.adult,pct.adult,pct.elderly
Misrepresenting,0.2,0,0,0.2,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2,0
Missing,0.25,0,0,0.25,0.125,0,0,0,0,0.125,0,0,0,0,0,0,0.25,0
Mistaking,0,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0.14285714285714285,0.14285714285714285,0,0,0,0,0.2857142857142857,0
Mocking,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0
Modified,0,0.25,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0
Modifying,0.125,0.125,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0.125,0,0.125,0
Monitored,0.10843373493975904,0.0963855421686747,0,0.21686746987951808,0.024096385542168676,0.012048192771084338,0.03614457831325301,0.03614457831325301,0.07228915662650602,0.024096385542168676,0.03614457831325301,0.060240963855421686,0,0,0.012048192771084338,0.08433734939759036,0.1686746987951807,0.012048192771084338
Monitoring,0.10638297872340426,0.14893617021276595,0,0.2127659574468085,0.0851063829787234,0,0,0.02127659574468085,0.10638297872340426,0.02127659574468085,0.02127659574468085,0.02127659574468085,0,0,0,0,0.2553191489361702,0
Morphing,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0,0,0,0.14285714285714285,0,0,0,0,0,0,0,0.2857142857142857,0
Moving,0,0.16666666666666666,0,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0.16666666666666666,0,0,0,0,0.16666666666666666,0.16666666666666666,0
Multitasking,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Mutilated,0.2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0
Mutilating,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0,0,0,0.14285714285714285,0,0,0,0,0,0,0,0.2857142857142857,0
Nagged,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.3333333333333333,0
Nagging,0.25,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0
Narrating,0.23076923076923078,0,0,0.3076923076923077,0,0,0,0,0,0.07692307692307693,0.07692307692307693,0,0,0,0,0,0.23076923076923078,0.07692307692307693
Nauseated,0.2,0,0,0.2,0,0,0,0,0.2,0,0,0.2,0,0,0,0.2,0,0
Navigating,0.08196721311475409,0.14754098360655737,0,0.18032786885245902,0.04918032786885246,0,0,0.01639344262295082,0.13114754098360656,0.03278688524590164,0.03278688524590164,0.09836065573770492,0,0.01639344262295082,0,0,0.21311475409836064,0
