Verb,Char,Ent,Tech,VerbType
Rapping,2,0,0,Active
Rating,0,0,2,Active
Reacting,1,1,0,Active
Read,0,1,2,NA
Reading,5,1,0,Active
Realizing,3,3,0,Active
Reassured,1,0,0,Passive
Reassuring,4,1,4,Active
Rebooted,1,0,4,Passive
Rebooting,1,0,0,Active
Recalling,1,0,0,Active
Receiving,2,2,3,Active
Recognised,7,5,0,Passive
Recognising,8,1,35,Active
Reconfigured,0,0,1,Passive
Reconfiguring,1,0,5,Active
Reconstructed,2,2,1,Passive
Reconstructing,2,0,15,Active
Recorded,23,12,2,Passive
Recording,9,7,103,Active
Recreating,0,0,1,Active
Recruited,1,0,0,Passive
Reenacted,0,0,1,Passive
Reflecting,0,1,1,Active
Refused,1,0,0,Passive
Refusing,1,0,0,Active
Registered,1,1,0,Passive
Registering,0,0,8,Active
Rejected,1,0,1,Passive
Rejecting,1,0,2,Active
Relaxed,1,0,0,Passive
Relaying,0,0,3,Active
Releasing,1,0,0,Active
Relived,1,0,0,Passive
Reliving,3,0,0,Active
Relocated,0,0,1,Passive
Relocating,1,0,0,Active
Remade,1,0,0,NA
Remaking,0,0,1,Active
Remembered,2,1,0,Passive
Remembering,11,0,8,Active
Reminded,3,1,0,Passive
Reminding,2,0,4,Active
Reminiscing,0,1,0,Active
Remixing,0,0,1,Active
Removed,1,0,1,Passive
Removing,3,0,2,Active
Rendered,0,0,0,Passive
Rendering,0,0,3,Active
Repaired,1,0,4,Passive
Repairing,4,0,4,Active
Repeated,0,0,1,Passive
Repeating,0,1,0,Active
Replaced,4,3,4,Passive
Replacing,5,3,20,Active
Replayed,0,0,7,Passive
Replaying,0,0,12,Active
Replicated,4,1,0,Passive
Replicating,1,0,8,Active
Replugged,1,0,1,Passive
Reported,3,2,0,Passive
Reporting,2,5,12,Active
Represented,2,1,0,Passive
Representing,0,4,6,Active
Reproducing,0,0,4,Active
Repurposed,0,0,3,Passive
Repurposing,4,0,0,Active
Rescued,10,0,0,Passive
Rescuing,11,0,0,Active
Researching,8,4,0,Active
Reset,0,0,2,NA
Resetting,1,0,0,Active
Resisting,5,0,2,Active
Responding,1,0,0,Active
Restoring,1,0,0,Active
Restricing,0,1,0,Active
Retrieving,0,0,2,Active
Retrying,1,0,1,Active
Returning,2,0,4,Active
Reusing,0,0,1,Active
Revealed,17,9,8,Passive
Revealing,11,8,203,Active
Reverse-engineered,0,0,1,Passive
Reverse-engineering,0,1,0,Active
Reversing,0,4,0,Active
Rewatching,2,0,0,Active
Rewinding,1,0,3,Active
Rewriting,0,0,1,Active
Risking,1,0,0,Active
Roaming,0,0,1,Active
Robbed,1,0,0,Passive
Robbing,2,0,0,Active
Role-playing,2,0,0,Active
Ruminating,1,0,0,Active
Rummaging,1,0,0,Active
Running,9,0,0,Active
Safeguarding,1,1,0,Active
Saved,2,1,0,Passive
Saving,5,1,5,Active
Scanned,61,13,6,Passive
Scanning,32,3,182,Active
Scared,30,0,0,Passive
Scaring,2,1,1,Active
Scouting,8,5,10,Active
Screaming,2,0,0,Active
Scrolling,1,0,0,Active
Searching,43,8,41,Active
Securing,0,1,0,Active
Seducing,0,0,1,Active
Seeing,41,4,26,Active
Seeking,3,0,2,Active
Seen,7,0,2,NA
Selecting,2,20,1,Active
Self-diagnosing,1,0,0,Active
Self-reflecting,0,0,3,Active
Selling,0,3,4,Active
Sending,0,1,3,Active
Sensing,3,0,5,Active
Servicing,0,0,1,Active
Shaping,0,1,1,Active
Shared,0,4,3,Passive
Sharing,7,2,6,Active
Shifting,0,0,2,Active
Shocked,5,0,0,Passive
Shocking,0,0,1,Active
Shooting,10,2,4,Active
Shot,2,0,1,NA
Shouting,2,0,0,Active
Showcasing,0,0,1,Active
Showed,3,0,2,Passive
Showing,12,1,84,Active
Shying,0,0,1,Active
Signaling,0,1,2,Active
Signing,1,0,0,Active
Simplifying,0,0,1,Active
Simulated,1,2,0,Passive
Simulating,2,3,24,Active
Singing,6,0,0,Active
Sizing,0,0,1,Active
Sleeping,1,0,0,Active
Smiling,4,2,0,Active
Sneaking,6,0,0,Active
Sniped,1,0,0,Passive
Sniping,2,0,0,Active
Social engineering,0,1,0,Active
Socialising,4,1,0,Active
Solving,3,1,0,Active
Soothed,1,0,0,Passive
Soothing,1,0,0,Active
Sorted,0,1,0,Passive
Sorting,1,2,6,Active
Sousveilling,1,0,0,Active
Speculating,0,7,0,Active
Spilling,1,0,0,Active
Spreading,0,0,1,Active
Spying,17,2,3,Active
Stabbing,2,0,0,Active
Stalking,4,0,2,Active
Startled,1,1,0,Passive
Starving,1,0,0,Active
Stating,0,1,1,Active
Stealing,8,1,0,Active
Steered,0,0,1,Passive
Steering,1,0,1,Active
Stimulating,0,0,1,Active
Stolen,0,1,1,NA
