Verb,target,Female,Male,Trans Woman,Robot,Fictional,Human,PoC,White,Child,Young Adult,Adult,Heterosexual,NA,Asian,Elderly,Other,Non-binary or Other,Animal,Bi-sexual,Homosexual
Kidnapped,FALSE,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Killed,FALSE,7,20,0,0,1,29,4,12,3,1,25,5,41,1,0,0,0,0,1,0
Killing,TRUE,7,32,0,12,1,30,4,26,1,2,35,9,60,1,0,0,0,0,0,0
Kissing,TRUE,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Kneeling,TRUE,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Labeled,FALSE,0,1,0,0,1,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0
Labeling,TRUE,0,0,0,1,0,5,0,1,0,0,5,0,18,0,0,0,0,0,0,0
Laughing,TRUE,2,2,0,0,0,5,0,2,0,1,4,1,7,0,0,0,0,0,1,0
Learning,TRUE,13,12,0,5,0,22,2,15,0,4,18,12,30,4,2,0,0,1,0,0
Liberated,FALSE,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Limited,FALSE,1,2,0,1,0,2,1,1,0,0,2,1,4,0,0,0,0,0,0,0
Listening,TRUE,1,4,0,1,0,4,1,3,0,0,5,0,5,1,0,0,0,0,0,0
Located,FALSE,0,2,0,1,1,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0
Locating,TRUE,2,2,0,1,0,4,2,2,0,0,5,1,6,0,0,0,0,0,0,0
Logging,TRUE,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Longing,TRUE,1,1,0,0,0,3,0,1,0,0,3,0,5,1,0,0,0,0,0,0
Looking,TRUE,5,14,0,1,0,19,1,11,0,2,18,8,15,5,0,0,0,0,0,1
Losing,TRUE,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Lost,FALSE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Loved,FALSE,2,3,0,2,0,3,1,4,0,1,4,4,1,0,0,0,0,0,0,0
Loving,TRUE,2,1,1,4,0,1,0,3,0,0,5,4,4,0,0,0,0,0,0,0
Lured,FALSE,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Lying,TRUE,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Magnified,FALSE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Maintaining,TRUE,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Malfunctioning,TRUE,0,2,0,3,0,0,0,2,0,0,3,0,5,0,0,0,0,0,0,0
Maneuvering,TRUE,0,2,0,0,0,2,0,2,0,0,2,1,1,0,0,0,0,0,0,0
Manifested,FALSE,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Manipulated,FALSE,5,2,0,0,0,7,0,5,0,1,5,5,4,0,1,0,0,0,0,0
Manipulating,TRUE,6,10,0,5,0,13,3,10,0,1,17,8,16,1,0,0,0,0,0,0
Mapping,TRUE,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Marked,FALSE,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Masked,FALSE,1,1,0,0,0,2,2,0,0,0,2,0,1,0,0,0,0,0,0,1
Matched,FALSE,2,0,0,1,0,1,1,1,0,2,0,0,2,0,0,0,0,0,0,0
Matching,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Materialised,FALSE,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Materialising,TRUE,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Measured,FALSE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Mediating,TRUE,2,1,0,0,0,2,1,1,0,0,3,0,4,1,0,0,0,0,0,0
Merged,FALSE,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Mimicked,FALSE,2,1,0,0,0,3,0,3,0,0,3,1,2,0,0,0,0,0,0,0
Mimicking,TRUE,1,1,0,1,1,2,0,3,1,0,2,0,7,0,0,0,1,0,0,0
Mirroring,TRUE,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Misgendered,FALSE,1,1,0,0,0,2,1,1,0,0,2,0,2,0,0,0,0,0,0,0
Misidentified,FALSE,0,2,0,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0
Misidentifying,TRUE,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Misinterpreted,FALSE,2,0,0,0,0,3,3,0,0,0,2,0,5,0,0,0,0,0,0,0
Misrepresented,FALSE,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0
Misrepresenting,TRUE,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
