Verb,target,SituationID,Government,Narrative,Art,User,Humans in general,Corporation,Game,Object,Image,Creator,Law enforcement,Environment,Military
Collected,FALSE,1614,0,0,1,0,0,0,0,0,1,0,0,0,0
Collected,FALSE,3052,0,0,1,0,0,0,0,0,1,0,0,0,0
Collecting,TRUE,291,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,318,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,725,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,994,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,1075,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,1138,0,0,1,1,0,0,0,0,0,0,0,0,0
Collecting,TRUE,1153,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,1518,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,1519,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,1565,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,1579,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,1614,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,1640,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,1763,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,2244,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,2535,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,2553,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,2570,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,2741,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,2833,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,3052,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,3092,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,3186,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,3199,0,0,1,0,0,0,0,0,0,1,0,0,0
Collecting,TRUE,3211,0,0,1,0,0,0,0,0,0,1,0,0,0
Coloring,TRUE,429,0,0,1,0,0,0,0,0,0,1,0,0,0
Combining,TRUE,1229,0,0,1,0,0,0,0,0,0,1,0,0,0
Comforting,TRUE,2211,0,1,0,0,1,0,0,0,0,0,0,0,0
Commanding,TRUE,1186,0,0,0,1,0,0,1,0,0,0,0,0,0
Commenting,TRUE,244,0,0,1,0,1,0,0,0,0,0,0,0,0
Commenting,TRUE,3044,0,0,1,1,0,0,0,0,0,0,0,0,0
Communicating,TRUE,1129,0,0,0,0,0,1,1,0,0,0,0,0,0
Communicating,TRUE,1628,0,0,1,1,0,0,0,0,0,0,0,0,0
Communicating,TRUE,1789,0,0,1,0,0,0,0,0,0,1,0,0,0
Communicating,TRUE,2288,1,1,0,0,0,0,0,0,0,0,0,0,0
Compared,FALSE,298,0,0,0,1,0,0,1,0,0,0,0,0,0
Compared,FALSE,527,0,0,1,1,0,0,0,0,0,0,0,0,0
Compared,FALSE,2936,0,0,1,1,0,0,0,0,0,0,0,0,0
Compared,FALSE,2938,0,0,1,0,0,0,0,0,1,0,0,0,0
Compared,FALSE,3013,0,0,1,1,0,0,0,0,0,0,0,0,0
Comparing,TRUE,258,0,0,1,1,0,0,0,0,0,0,0,0,0
Comparing,TRUE,670,0,0,0,1,0,0,1,0,0,0,0,0,0
Comparing,TRUE,2938,0,0,1,0,1,0,0,0,0,0,0,0,0
Comparing,TRUE,3057,0,0,1,0,1,0,0,0,0,0,0,0,0
Compensating,TRUE,2983,0,0,1,0,0,0,0,0,0,1,0,0,0
Complying,TRUE,3221,0,1,0,0,1,0,0,0,0,0,0,0,0
Concealing,TRUE,311,0,0,1,0,0,0,0,1,0,0,0,0,0
Concealing,TRUE,1554,0,0,1,0,0,0,0,1,0,0,0,0,0
Concealing,TRUE,1563,0,0,1,0,0,0,0,1,0,0,0,0,0
Concealing,TRUE,1564,0,0,1,0,0,0,0,1,0,0,0,0,0
Conceptualizing,TRUE,1547,0,0,1,0,0,0,0,0,0,1,0,0,0
Conceptualizing,TRUE,1640,0,0,1,0,0,0,0,0,0,1,0,0,0
