WorkTitle,WorkID,Work_WikidataID,Creator,CreatorID,Creator_WikidataID
The Shell,992,NA,Johannes Braumann,990,NA
They Live,286,Q72909,John Carpenter,283,Q95008
A View to a Kill,495,Q332368,John Glen,491,Q545216
Why Him?,417,Q23058779,John Hamburg,415,Q167683
Heartbreak Warfare,349,Q5692707,John Mayer,346,Q215215
Redshirts,1801,NA,John Scalzi,1793,Q277308
Iron Man,454,Q192724,Jon Favreau,467,Q295964
The Mandalorian,2476,Q56876444,Jon Favreau,467,Q295964
Spider Man: Far From Home,463,Q27985819,Jon Watts,460,Q18519749
Public Waiters,1031,NA,Jonas Ersland,1029,NA
Significant Other,1214,NA,Jonas Lund,1213,Q26704214
Oblivion,2215,Q638544,Joseph Kosinski,2252,Q2444076
Awake,316,Q47538617,Josh Fox,314,NA
The Avengers,2339,Q182218,Joss Whedon,2330,Q298025
"AI, Ain't I a Woman",86,NA,Joy Buolamwini,83,Q31359093
The Coded Gaze: Unmasking Algorithmic Bias,1649,NA,Joy Buolamwini,83,Q31359093
Synthetic Selfies,904,NA,Jukka Hautamäki,903,Q16298648
The High-Rise Diver,2948,NA,Julia von Lucadou,2945,Q57591655
Asunder,1185,NA,Julian Oliver,1183,NA
Best Friend,2344,Q60440861,Juliana De Lucca,2342,NA
The Argus Project,3171,NA,Julien Terrell,3169,NA
In Other Waters,2880,Q106592729,Jump Over the Age,2879,NA
Solar Opposites,2972,Q56290639,Justin Roiland,2970,Q6318075
Panopticities,2042,NA,KairUs,2043,NA
Suspicious Behavior,2044,NA,KairUs,2043,NA
Sharing locations: YONGSAN & HUMPHREY GARRISON,2045,NA,KairUs,2043,NA
Dissonant Imagery,90,NA,Kamitani Lab,88,NA
Saving Face,1603,NA,Karen Lancel,1601,Q101208459
ImageNet Roulette,1615,NA,Kate Crawford,2764,NA
Breathe: A Ghost Story,6,NA,Kate Pullinger,3,Q6375726
DOOR and BOX,2126,NA,Katia Vega,2125,NA
Earthware: driverless car seeing a deer for the first time 2,578,NA,Katja Novitskova,576,Q19667905
Klara and the Sun,3216,Q105704813,Kazuo Ishiguro,3212,Q272855
Hyper Reality,2677,NA,Keiichi Matsuda,2676,NA
Demonstrate,3043,NA,Ken Goldberg,3042,Q6387683
Mono no Aware,1818,Q27903119,Ken Liu,93,Q151720
